,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,A00001,NNA,1957 ALP 3,C  F,GO,Golovniy Obtekatel',1957 Oct  4,S00001,1957 Oct  4 1933,Earth,1957 Nov?,R,,NII88,SU,OKB1,PS Fairing,,10,,10,,0,,0.5,,0.5,,0.5,,Cone,1957 Oct  4,214,,938,,65.10,,LLEO/I,,
1,A00002,00003,1957 BET 1,R2,8K71A M1-11,8K71A M1-11 (M1-2PS),1957 Nov  3,,1957 Nov  3 0235,Earth,1958 Apr 14,R,,RVSN,SU,OKB1,Blok-A,,7790,,7790,,0,,28.0,,2.6,,28.0,,Cyl,1957 Nov  3,211,,1659,,65.33,,LEO/I,,
2,A00003,NNA,1957 BET 2,C  F,GO,Golovniy Obtekatel',1957 Nov  3,A00002,1957 Nov  3 0236,Earth,1957 Dec?,R,,NII88,SU,OKB1,PS Fairing,,10,,10,,0,,2.0,,1.0,,2.0,,Cone,1957 Nov  3,211,,1659,,65.33,,LEO/I,,
3,A00004,00004,1958 ALP,R4,Cluster 4 Assembly 4,RTV Motor,1958 Feb  1,R02006,1958 Feb  1 0355,Earth,1970 Mar 31,R,,JPL,US,JPL,RTV Motor,,6,,6,,0,,1.2,,0.1,,1.2,,Cyl,1958 Feb  1,359,,2542,,33.18,,LEO/I,,
4,A00005,00006,1958 GAM,R4,Cluster 7 Assembly 4,RTV Motor,1958 Mar 26,R02082,1958 Mar 26 1745,Earth,1958 Jun 28,R,,JPL,US,JPL,RTV Motor,,6,,6,,0,,1.2,,0.1,,1.2,,Cyl,1958 Mar 26,188,,2800,,33.38,,LEO/I,,
5,A00006,NNA,1958 DEL 3,C  F,GO,Golovniy Obtekatel',1958 May 15,S00007,1958 May 15 0706,Earth,1958?,R,,NII88,SU,OKB1,PS Fairing,,10,,10,,0,,0.5,,0.5,,0.5,,Cone,1959 May  7,207,,1247,,65.12,,LEO/I,,
6,A00007,NNA,1958 DEL 4,C  F,GO part,Fairing section?,1958 May 15,S00007,1958 May 15 0706,Earth,1958?,R,,NII88,SU,OKB1,PS Fairing,,10,,10,,0,,0.5,,0.5,,0.5,,Cone,1959 May  7,207,,1247,,65.12,,LEO/I,,
7,A00008,NNA,1958 DEL 5,C  F,GO part,Fairing section?,1958 May 15,S00007,1958 May 15 0706,Earth,1958?,R,,NII88,SU,OKB1,PS Fairing,,10,,10,,0,,0.5,,0.5,,0.5,,Cone,1959 May  7,207,,1247,,65.12,,LEO/I,,
8,A00009,00009,1958 EPS,R4,Cluster 9 Assembly 4,RTV Motor,1958 Jul 26,R02275,1958 Jul 26 1507,Earth,1959 Oct 23,R,,JPL,US,JPL,RTV Motor,,5,,5,,0,,1.2,,0.1,,1.2,,Cyl,1959 Apr 24,258,,1352,,50.21,,LEO/I,,
9,A00010,NNA,1958 ETA,R3,X-248 Altair,Altair X-248-A3,1958 Oct 11,R02515,1958 Oct 11 0848?,Earth,1958 Oct 13,R,,NASAHQ/AFBMD,US,ABL,Altair,,24,,24,,24,,1.5,,0.5,,1.5,,Cyl,1958 Oct 11,-870,,105600,,35.89,,SO,,
10,A00011,00110,1958 ETA,C AM,TX-8 Falcon,TX-8 Falcon,1958 Oct 11,S00110,1958 Oct 11 0848?,Earth,1958 Oct 13 0446,AR,,AFBMD,US,THKX,TX-8,,16,,5,,0,,0.2,,0.2,,0.2,,Cone,1958 Oct 11,-870,,113860,,35.89,,SO,,
11,A00012,NNA,1958 THE,R4,Cluster 11 Assembly 4,RTV Motor,1958 Dec  6,R02656,1958 Dec  6 0515,Earth,1958 Dec  7,R,,ABMA,US,JPL,RTV Motor,,5,,5,,5,,1.2,,0.1,,1.2,,Cyl,1958 Dec  6,-70,,102200,,28.50,,SO,,
12,A00013,00111,1958 THE,C AY,Despin weight,,1958 Dec  6,S00111,1958 Dec  6 1530,Earth,1958 Dec  7 1952,AR,,JPL,US,JPL,,,0,,0,,0,,0.0,,0.0,,1.5,,Disk + Cable,1958 Dec  6,-70,,102200,,28.50,,SO,,
13,A00014,00111,1958 THE,C AY,Despin weight,,1958 Dec  6,S00111,1958 Dec  6 1530,Earth,1958 Dec  7 1952,AR,,JPL,US,JPL,,,0,,0,,0,,0.0,,0.0,,1.5,,Disk + Cable,1958 Dec  6,-70,,102200,,28.50,,SO,,
14,A00015,00010,1958 ZET,R1,Atlas B 10B,Atlas B 10B,1958 Dec 18,,1958 Dec 18 2306,Earth,1959 Jan 21,R,,AFBMD,US,GDC,Atlas,,3920,,3650,,0,,3.0,,22.9,,22.9,,Cyl,1958 Dec 30,159,,1187,,32.29,,LEO/I,,
15,A00016,NNA,1959 MU,R3  D,8K72E No. B1-6,8K72E,1959 Jan  2,R02704,1959 Jan  2 1653,Earth,1959 Jan  3 0349?,DSO,D00001,RVSN,RU,OKB1,Blok-E,,1472,,1472,,1472,,5.0,,2.7,,5.0,,Cyl,1959 Jan  3,-370,,-242160,,65.00,,EEO,,
16,A00017,00013,1959 BET,R2,Agena A 1022,Agena A,1959 Feb 28,R02762,1959 Feb 28 2156,Earth,1959 Mar  5,R,,AFBMD,US,LMSD,Agena A,,590,,590,,0,,4.0,,1.5,,4.0,,Cyl,1959 Feb 28,163,,968,,89.70,,LLEO/P,,
