,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,C00100,NNA,,R2,Unknown,Same as WT1190F,,,2009 Jan  0,Earth,2009 Jan  0,ERR,C00103,NASA,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2009 Oct 28,48596,,899735,,23.20,,CLO,,
1,C00101,NNA,,P,Unknown NRO (Sirio mistag),ISON UI.41,,,2009 Jan  0,Earth,,O,,NRO,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2002 Dec  1,35603,,36005,,12.98,,GEO/ID,,
2,C00102,NNA,,R2,Unknown 9U01FF6,Same as WT1190F,,,2009 Jan  0,Earth,2009 Jan  0,ERR,C00103,NASA,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2014 Jan 12,99564,,547783,,80.69,,CLO,,
3,C00103,NNA,,R2,Unknown WT1190F,,,,2008 Dec,Earth,2015 Nov 13 0618,R,Sri Lanka,UNK,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2015 Oct  1,21761,,672783,,9.83,,CLO,,
4,C00104,27540,1999-040,R2,Unknown WJ2B5AC,Integral       ?,1999 Jul 23,,2015 Jan  0,Earth,,O,,NASA,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2015 Aug  1,8995,,140458,,53.16,,VHEO,,
5,C00105,NNA,,R2,Unknown 6Q0B44E,Unknown XL8D89E,,,2015 Jan  0,Earth,,O,,NASA,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2016 Jan  1,631283,,967563,,52.42,,CLO,,
6,C00106,25989,1999-066A,P   D,Unknown S509356,XMM-Newton,1999 Dec 10,,2016 Apr  0,Earth,,O,E/,NASA,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2016 May 30,30395,,154784,,47.11,,DSO,,
7,C00107,NNA,,P,Unknown UI058,ISON UI.58,,,2016 Jan  0,Earth,,O,,UNK,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2016 Jan  1,37397,,37681,,16.86,,VHEO,,
8,C00108,NNA,,P,Unknown UI168,ISON UI.168,,,2016 Jan  0,Earth,,O,,UNK,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2016 Jan  1,34750,,36872,,14.47,,GEO/ID,,
9,C00109,NNA,,P,Unknown UI031,ISON UI.31,,,2016 Jan  0,Earth,,O,,UNK,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,2016 Jan  1,34844,,36774,,4.79,,GEO/ID,,
