,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,D00001,NNA,1959 MU,R3  D,8K72E No. B1-6,8K72E,1959 Jan  2,,1959 Jan  3 0349?,Earth,1959 Jan  3 1956?,EO,Luna,RVSN,RU,OKB1,Blok-E,,1472,,1472,,1472,,5.0,,2.7,,5.0,,Cyl,1959 Jan  3,-370,,-242160,,65.00,,EEO,,
1,D00002,00112,1959 MU 1,P   D,AMS Luna-1,E-1 No. 4,1959 Jan  2,,1959 Jan  3 0349?,Earth,1959 Jan  3 1956?,EO,Luna,OKB1,SU,OKB1,E-1,,205,,205,,205,,0.8,,0.8,,2.0,,Sphere + Ant,1959 Jan  3,-370,,-242160,,65.00,,EEO,,
2,D00003,00113,1959 NU 1,P   D,Pioneer 4,Pioneer 4,1959 Mar  3,,1959 Mar  3 1654,Earth,1959 Mar  4 2000?,EO,Luna,ABMA,US,JPL,Juno II Probe,,7,,7,,7,,0.6,,0.2,,0.6,,Cone,1959 Mar  3,-45,,-393400,,29.00,,EEO,,
3,D00004,NNA,1959 NU,R4  D,Cluster 12 Assembly 4,RTV Motor,1959 Mar  3,,1959 Mar  3 1654,Earth,1959 Mar  4 2000?,EO,Luna,ABMA,US,JPL,RTV Motor,,5,,5,,5,,1.2,,0.1,,1.2,,Cyl,1959 Mar  3,-45,,-393400,,29.00,,EEO,,
4,D00005,NNA,1959 NU,C  YD,Despin weight,,1959 Mar  3,,1959 Mar  3 1654,Earth,1959 Mar  4 2000?,EO,Luna,JPL,US,JPL,,,0,,0,,0,,0.0,,0.0,,1.5,,Disk + Cable,1959 Mar  3,-45,,-393400,,29.00,,EEO,,
5,D00006,NNA,1959 NU,C  YD,Despin weight,,1959 Mar  3,,1959 Mar  3 1654,Earth,1959 Mar  4 2000?,EO,Luna,JPL,US,JPL,,,0,,0,,0,,0.0,,0.0,,1.5,,Disk + Cable,1959 Mar  3,-45,,-393400,,29.00,,EEO,,
6,D00007,00114,1959 XI 1,P   D,AMS Luna-2,E-1 No. 7,1959 Sep 12,,1959 Sep 12 1815,Earth,1959 Sep 13 1315?,EO,Luna,OKB1,SU,OKB1,E-1,,205,,205,,205,,0.8,,0.8,,2.0,,Sphere + Ant,1959 Sep 12,-371,,-354800,,65.00,,EEO,,
7,D00008,NNA,1959 XI,R3  D,8K72E No. I1-7B,8K72E,1959 Sep 12,,1959 Sep 12 1815,Earth,1959 Sep 13 1315?,EO,Luna,RVSN,RU,OKB1,Blok-E,,1511,,1511,,1511,,5.0,,2.7,,5.0,,Cyl,1959 Sep 12,-371,,-354800,,65.00,,EEO,,
8,D00009,00021,1959 THE 1,P   D,AMS Luna-3,E-2A,1959 Oct  4,,1959 Oct  4 1504?,Earth,1959 Oct  6 0145?,EO,Luna,OKB1,SU,OKB1,E-2A,,278,,278,,278,,1.3,,1.2,,1.5,,Ell,1959 Oct  5,500,,500000,,65.00,,CLO,,
9,D00010,NNA,1959 THE,R3  D,8K72E No. I1-8,8K72E,1959 Oct  4,,1959 Oct  4 1504?,Earth,1959 Oct  6 0145?,EO,Luna,RVSN,RU,OKB1,Blok-E,,1553,,1553,,1553,,5.0,,2.7,,5.0,,Cyl,1959 Oct  5,500,,500000,,65.00,,CLO,,
10,D00011,00027,1960 ALP 1,P   D,Pioneer V,P-2,1960 Mar 11,,1960 Mar 11 2300,Earth,1960 Mar 17 1630?,EO,HCO,NASA,US,TRW,Able Probe,,43,,43,,43,,0.7,,0.7,,2.4,,Sphere + 4 Pan,1960 Mar 11,-455,,-142121,,24.60,,EEO,,
11,D00012,NNA,1960 ALP,R3  D,Altair,Altair X-248,1960 Mar 11,,1960 Mar 11 2300,Earth,1960 Mar 17 1630?,EO,HCO,USAF,US,ABL,Altair,,24,,24,,24,,1.7,,0.5,,1.7,,Cyl,1960 Mar 11,-455,,-142121,,24.60,,EEO,,
