, DeepCat,JCAT
0,D00002,S00112
1,D00003,S00113
2,D00004,A00018
3,D00005,A00019
4,D00006,A00020
5,D00007,S00114
6,D00008,A00033
7,D00009,S00021
8,D00010,A00035
9,D00011,S00027
10,D00012,A00042
11,D00013,A00044
12,D00014,A00045
13,D00015,A00079
14,D00016,S00080
15,D00017,S00098
16,D00018,A00090
17,D00019,S00221
18,D00020,S00222
19,D00021,A00164
20,D00022,A00165
21,D00023,S00282
22,D00024,S00280
23,D00025,A00187
24,D00026,A00188
25,D00027,S00375
26,D00028,S00374
27,D00029,S00440
28,D00030,S00439
29,D00031,A00287
30,D00032,A00288
31,D00033,S00450
32,D00034,A00293
33,D00035,A00328
34,D00036,S00566
35,D00037,A00330
36,D00038,A00331
37,D00039,A00332
38,D00040,S00693
39,D00041,A00419
40,D00042,A00420
41,D00043,A00421
42,D00044,S00747
43,D00045,A00438
44,D00046,A00454
45,D00047,S00785
46,D00048,A00455
47,D00049,S00843
48,D00050,S00842
49,D00051,S00879
50,D00052,A00535
51,D00053,A00576
52,D00054,A00577
53,D00055,S00923
54,D00056,S00942
55,D00057,S00938
56,D00058,S00945
57,D00059,A00596
58,D00060,S01087
59,D00061,S01086
60,D00062,S01298
61,D00063,S01294
62,D00064,A00692
63,D00065,S01366
64,D00066,A00695
65,D00067,A00696
66,D00068,A00697
67,D00069,S01388
68,D00070,A00712
69,D00071,A00713
70,D00072,A00714
71,D00073,A00725
72,D00074,S01393
73,D00075,A00730
74,D00076,A00731
75,D00077,A00732
76,D00078,A00749
77,D00079,S01454
78,D00080,S01503
79,D00081,A00771
80,D00082,A00795
81,D00083,S01610
82,D00084,A00799
83,D00085,A00800
84,D00086,A00801
85,D00087,A00820
86,D00088,S01730
87,D00089,S01736
88,D00090,S01733
89,D00091,A00890
90,D00092,A00823
91,D00093,S01810
92,D00094,A00831
93,D00095,A00832
94,D00096,A00833
95,D00097,A00847
96,D00098,S01841
97,D00099,S02001
98,D00100,S01954
99,D00101,A00866
100,D00102,A00868
101,D00103,A00869
102,D00104,S02130
103,D00105,S02126
104,D00106,S02131
105,D00107,S02132
106,D00108,A00916
107,D00109,S02187
108,D00110,S02185
109,D00111,A00946
110,D00112,A00947
111,D00113,S02260
112,D00114,A00976
113,D00115,A00977
114,D00116,A00978
115,D00117,S02258
116,D00118,A00981
117,D00119,S02394
118,D00120,S02395
119,D00121,S02402
120,D00122,S02398
121,D00123,A01023
122,D00124,A01017
123,D00125,S02406
124,D00126,A01022
125,D00127,S02426
126,D00128,S02425
127,D00129,A01042
128,D00130,A01043
129,D00131,A01058
130,D00132,S02508
131,D00133,A01059
132,D00134,A01060
133,D00135,S02513
134,D00136,S02512
135,D00137,S02535
136,D00138,S02534
137,D00139,A01097
138,D00140,S02626
139,D00141,A01102
140,D00142,A01103
141,D00143,A01104
142,D00144,A01118
143,D00145,S02666
144,D00146,A01137
145,D00147,A01138
146,D00148,S02705
147,D00149,S02764
148,D00150,S02756
149,D00151,A01154
150,D00152,A01155
151,D00153,A08290
152,D00154,A01167
153,D00155,S02772
154,D00156,S02817
155,D00157,A01183
156,D00158,A01184
157,D00159,A01185
158,D00160,A01192
159,D00161,S02840
160,D00162,A01254
161,D00163,S02846
162,D00164,S02845
163,D00165,S02883
164,D00166,S02875
165,D00167,A01211
166,D00168,A01212
167,D00169,A01214
168,D00170,A01215
169,D00171,A01216
170,D00172,S02884
171,D00173,A01217
172,D00174,A01218
173,D00175,S02908
174,D00176,S02907
175,D00177,A01235
176,D00178,A01236
177,D00179,S02938
178,D00180,S02937
179,D00181,S03034
180,D00182,S03031
181,D00183,A01281
182,D00184,A01282
183,D00185,A09453
184,D00186,A09454
185,D00187,A01292
186,D00188,S03066
187,D00189,S03092
188,D00190,S03091
189,D00191,A01304
190,D00192,A01305
191,D00193,A01325
192,D00194,S03134
193,D00195,A01326
194,D00196,S03138
195,D00197,S03145
196,D00198,A01345
197,D00199,S03178
