,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,S00046,00046,1960 ETA 2,P,Solar Radiation 1,SR I,1960 Jun 22,S00045,1960 Oct  5,Earth,,O,,NRL,US,NRL,"NRL 20""",,19,,19,,19,,0.3,,0.3,,0.3,,Sphere,1960 Aug 17,614,,1058,,66.77,,LEO/I,,"Dyno 1,Solrad 1"
1,A00651,NNA E,1965-022,CP E-,Berkut,A. Leonov,1965 Mar 18,S01286,1965 Mar 18 0849,Earth,1965 Mar 18 0851,TFR,S01274,MOM,SU,ZVEZ,,,140,,140,,0,,2.0,,0.5,,2.0,,Suit + Cable,1965 Mar 18,167,,472,,65.00,,LLEO/I,,
2,A00651,NNA E,1965-022,CP E-,Berkut,A. Leonov,1965 Mar 18,S01274,1965 Mar 18 0851,Earth,1965 Mar 19 0902,AL IN,,MOM,SU,ZVEZ,,,140,,140,,0,,2.0,,0.5,,2.0,,Suit + Cable,1965 Mar 18,167,,472,,65.00,,LLEO/I,,
3,S01244,01244,1965-016B,P,GGSE 2,POPPY 4 Charlie,1965 Mar  9,S01292,1965 May  3,Earth,,O,,NRO/NRL,US,NRL,"NRL 24""",,55,,55,,55,,0.6,,0.5,,3.7,,Sphere + Ant,1965 Apr  8,907,,939,,70.06,,LEO/I,,"NRL PL143,NRO Mission 7104C"
4,S01292,01292,1965-016C,P,GGSE 3,POPPY 4 Delta,1965 Mar  9,S01244,1965 May  3,Earth,,O,,NRO/NRL,US,NRL,"NRL 24""",,59,,59,,59,,0.6,,0.5,,31.0,,Sphere + 3 Ant,1965 Apr 25,906,,941,,70.09,,LEO/I,,"NRL PL144,NRO Mission 7104D"
5,A00719,NNA E,1965-043,CP E,G4C-8,E. White,1965 Jun  3,S01390,1965 Jun  3 2010,Earth,1965 Jun  7 1712,AL IN,,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1965 Jun  3,165,,289,,32.50,,LLEO/I,,
6,A00720,NNA E,1965-043,CP E,G4C-3,J. McDivitt,1965 Jun  3,S01390,1965 Jun  3 2010,Earth,1965 Jun  7 1712,AL IN,,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1965 Jun  3,165,,289,,32.50,,LLEO/I,,
7,S02105,02105,1966-020A,PH-H,Gemini VIII,Gemini SC8,1966 Mar 16,S02104,1966 Mar 16 2314:18,Earth,1966 Mar 16 2356:15,UDK,,MSC,US,MCDA,Gemini,,2213,,2213,,2505,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Mar 16,261,,270,,28.90,,LLEO/I,,
8,S02105,02105,1966-020A,PH-H,Gemini VIII,Gemini SC8,1966 Mar 16,S02104,1966 Mar 16 2356:15,Earth,1966 Mar 17 0322:28,L,POR,MSC,US,MCDA,Gemini,,2213,,2213,,2505,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Mar 16,261,,270,,28.90,,LLEO/I,,
9,A00957,NNA E,1966-047,CP E,G4C-32,E. Cernan,1966 Jun  3,S02191,1966 Jun  5 1709,Earth,1966 Jun  6 1400,AL IN,,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jun  5,292,,298,,28.00,,LLEO/I,,
10,A00958,NNA E,1966-047,CP E,G4C-17,T. Stafford,1966 Jun  3,S02191,1966 Jun  5 1709,Earth,1966 Jun  6 1400,AL IN,,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jun  5,292,,298,,28.00,,LLEO/I,,
11,S02349,02349,1966-066A,PH H,Gemini X,Gemini SC10,1966 Jul 18,S02348,1966 Jul 19 0413:03,Earth,1966 Jul 20 1900:03,UDK,,MSC,US,MCDA,Gemini,,2161,,2161,,2432,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Jul 19,299,,757,,28.80,,LLEO/I,,
12,A00987,NNA E,1966-066,CP E,G4C-36,M. Collins,1966 Jul 18,S02349,1966 Jul 19 2234,Earth,1966 Jul 20 2301,TFR E,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
13,A00988,NNA E,1966-066,CP E,G4C-19,J. Young,1966 Jul 18,S02349,1966 Jul 19 2234,Earth,1966 Jul 20 2301,TFR E,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
14,S02349,02349,1966-066A,PH H,Gemini X,Gemini SC10,1966 Jul 18,S02349,1966 Jul 20 1900:03,Earth,1966 Jul 21 2107:05,L,26 44N 71 57W,MSC,US,MCDA,Gemini,,2161,,2161,,2432,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Jul 19,299,,757,,28.80,,LLEO/I,,
15,A00987,NNA E,1966-066,CP E,G4C-36,M. Collins,1966 Jul 18,S02349,1966 Jul 20 2301,Earth,1966 Jul 20 2341,EVA,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
16,A00988,NNA E,1966-066,CP E,G4C-19,J. Young,1966 Jul 18,S02349,1966 Jul 20 2301,Earth,1966 Jul 20 2341,EVA,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
17,A00987,NNA E,1966-066,CP E,G4C-36,M. Collins,1966 Jul 18,S02349,1966 Jul 20 2341,Earth,1966 Jul 21 0052,TFR E,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
18,A00988,NNA E,1966-066,CP E,G4C-19,J. Young,1966 Jul 18,S02349,1966 Jul 20 2341,Earth,1966 Jul 21 0052,TFR E,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
19,A00987,NNA E,1966-066,CP E,G4C-36,M. Collins,1966 Jul 18,S02349,1966 Jul 21 0052,Earth,1966 Jul 21 0055,EVA,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
20,A00988,NNA E,1966-066,CP E,G4C-19,J. Young,1966 Jul 18,S02349,1966 Jul 21 0052,Earth,1966 Jul 21 0055,EVA,S02349,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
21,A00987,NNA E,1966-066,CP E,G4C-36,M. Collins,1966 Jul 18,S02349,1966 Jul 21 0055,Earth,1966 Jul 21 2107,AL IN,,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
22,A00988,NNA E,1966-066,CP E,G4C-19,J. Young,1966 Jul 18,S02349,1966 Jul 21 0055,Earth,1966 Jul 21 2107,AL IN,,MSC,US,CLARK,G4C,,122,,122,,0,,2.0,,0.5,,8.5,,Suit + Tether,1966 Jul 20,398,,398,,29.00,,LLEO/I,,
23,R14448,NSO,1966-U06,D  Z,Saturn S-IVB-202 debris,Saturn S-IVB-202,1966 Aug 25,R14447,1966 Aug 25 1731,Earth,1966 Aug 25 1736,R,,MSFC,,DACM,S-IVB,,13300,,13300,,13300,,18.7,,6.6,,18.7,,,1966 Aug 25,-2330,,268,,31.86,,SO,N,
24,S02415,02415,1966-081A,PH H,Gemini XI,Gemini SC11,1966 Sep 12,S02414,1966 Sep 12 1616:42,Earth,1966 Sep 12 1652,UDK,,MSC,US,MCDA,Gemini,,2147,,2147,,2724,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Sep 14,298,,1368,,28.83,,LEO/I,,
25,S02415,02415,1966-081A,PH H,Gemini XI,Gemini SC11,1966 Sep 12,S02414,1966 Sep 12 1652,Earth,1966 Sep 12 1801:46,DK,S02414,MSC,US,MCDA,Gemini,,2147,,2147,,2724,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Sep 14,298,,1368,,28.83,,LEO/I,,
26,S02415,02415,1966-081A,PH H,Gemini XI,Gemini SC11,1966 Sep 12,S02414,1966 Sep 12 1801:46,Earth,1966 Sep 12 1806,UDK,,MSC,US,MCDA,Gemini,,2147,,2147,,2724,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Sep 14,298,,1368,,28.83,,LEO/I,,
27,S02415,02415,1966-081A,PH H,Gemini XI,Gemini SC11,1966 Sep 12,S02414,1966 Sep 12 1806,Earth,1966 Sep 12 1840?,DK,S02414,MSC,US,MCDA,Gemini,,2147,,2147,,2724,,3.5,,1.2,,3.5,,Cone + Cyl,1966 Sep 14,298,,1368,,28.83,,LEO/I,,
