,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,F00001,NSO,1957-F01,R3  F,GRC 33-KS-2800,GRC 33-KS-2800,1957 Dec  6,L04718,1957 Dec  6 1645,Earth,1957 Dec  6,R,,NRL,US,GCR,33-KS-2800,,198,,22,,22,,1.5,,0.7,,1.5,,Cyl,1957 Dec  6,-6378,,0,,33.00,,ATM,,
1,F00002,NSO,1957-F01,P   F,Vanguard,Vanguard Test Satellite F,1957 Dec  6,F00001,1957 Dec  6 1645,Earth,1957 Dec  6,R,,NRL,US,NRL,"NRL 6""",,2,,2,,2,,0.1,,0.1,,0.1,,Sphere,1957 Dec  6,-6378,,0,,33.00,,ATM,,
2,F00003,NSO,1958-F01,R3  F,GRC 33-KS-2800,GRC 33-KS-2800,1958 Feb  5,L04809,1958 Feb  5 0734,Earth,1958 Feb  5,R,,NRL,US,GCR,33-KS-2800,,196,,22,,22,,1.5,,0.7,,1.5,,Cyl,1958 Feb  5,-6378,,1,,33.00,,ATM,,
3,F00004,NSO,1958-F01,P   F,Vanguard,Vanguard Test Satellite G,1958 Feb  5,F00003,1958 Feb  5 0734,Earth,1958 Feb  5,AR,,NRL,US,NRL,"NRL 6""",,2,,2,,2,,0.1,,0.1,,0.1,,Sphere,1958 Feb  5,-6378,,1,,33.00,,ATM,,":UA,:VA"
4,F00005,NSO,1958-F02,R4--F--*,Cluster 5 Assembly 4,RTV Motor,1958 Mar  5,R02058,1958 Mar  5 1834,Earth,1958 Mar  5,R,,JPL,US,JPL,RTV Motor,,9,,9,,9,,1.2,,0.1,,1.2,,Cyl,1958 Mar  5,-3599,,379,,34.10,,SO,,
5,F00006,NSO,1958-F02,P   F,Explorer II,Explorer 2,1958 Mar  5,F00005,1958 Mar  5 1834,Earth,1958 Mar  5,AR,,ABMA/JPL,US,JPL,Explorer,,5,,5,,5,,0.8,,0.1,,0.8,,Cyl,1958 Mar  5,-3599,,379,,34.10,,SO,,":UA,:UB,DEAL I:IA"
6,F00007,NSO,1958-F03,R2  F,8K74A,8K74A,1958 Apr 27,,1958 Apr 27 0902,Earth,1958 Apr 27,R,,OKB1,SU,OKB1,Blok-A,,7790,,7790,,7800,,28.0,,2.6,,28.0,,Cyl,1958 Apr 27,-6370,,30,,65.10,,ATM,,
7,F00008,NSO,1958-F03,P   F,[ISZ],D No. 1,1958 Apr 27,F00007,1958 Apr 27 0902,Earth,1958 Apr 27,AR,,NII88,SU,OKB1,Object D,,1327,,1327,,1327,,3.6,,1.7,,3.6,,Cone,1958 Apr 27,-6370,,30,,65.10,,ATM,,
8,F00009,NSO,1958-F03,C   F,GO,Golovniy Obtekatel',1958 Apr 27,F00007,1958 Apr 27 0902,Earth,1958 Apr 27,AR,,NII88,SU,OKB1,PS Fairing,,10,,10,,0,,0.5,,0.5,,0.5,,Cone,1958 Apr 27,-6370,,30,,65.10,,ATM,,
9,F00010,NSO,1958-F04,R3  F,GRC 33-KS-2800,GRC 33-KS-2800,1958 Apr 29,R02112,1958 Apr 29 0257,Earth,1958 Apr 29,R,,NRL,US,GCR,33-KS-2800,,195,,22,,22,,1.5,,0.7,,1.5,,Cyl,1958 Apr 28,-5311,,544,,35.00,,SO,,
10,F00011,NSO,1958-F04,P   F,Vanguard,X-ray satellite,1958 Apr 29,F00010,1958 Apr 29 0257,Earth,1958 Apr 29,AR,,NRL,US,NRL,"NRL 20""",,10,,10,,10,,0.5,,0.5,,0.5,,Sphere,1958 Apr 28,-5311,,544,,35.00,,SO,,":UA,:VA,Vanguard Group I FU2:VB"
11,F00012,NSO,1958-F05,R3  F,GRC 33-KS-2800,GRC 33-KS-2800 166-8-11,1958 May 28,R02153,1958 May 28 0356,Earth,1958 May 28 0445?,R,,NRL,US,GCR,33-KS-2800,,205,,22,,22,,1.5,,0.7,,1.5,,Cyl,1958 May 28,-3900,,3500,,34.00,,SO,,
12,F00013,NSO,1958-F05,P   F,Vanguard,Lyman Alpha satellite,1958 May 28,F00012,1958 May 28 0357,Earth,1958 May 28 0445?,R,,NRL,US,NRL,"NRL 20""",,10,,10,,10,,0.5,,0.5,,0.5,,Sphere,1958 May 28,-3900,,3500,,34.00,,SO,,":UA,:VA,Vanguard Group I FU3:VB"
13,F00014,NSO,1958-F06,R3  F,GRC 33-KS-2800,GRC 33-KS-2800,1958 Jun 26,R02203,1958 Jun 26 0504,Earth,1958 Jun 26,R,,NRL,US,GCR,33-KS-2800,,195,,22,,22,,1.5,,0.7,,1.5,,Cyl,1958 Jun 26,-6190,,164,,33.20,,SO,,
14,F00015,NSO,1958-F06,P   F,Vanguard,X-ray satellite,1958 Jun 26,F00014,1958 Jun 26 0504,Earth,1958 Jun 26,R,,NRL,US,NRL,"NRL 20""",,10,,10,,10,,0.5,,0.5,,0.5,,Sphere,1958 Jun 26,-6190,,164,,33.20,,SO,,":UA,:VA,Vanguard Group I FU1:VB"
15,F00016,NSO,1958-F07,R4  F,NOTS 8in,NOTS 8in,1958 Jul 25,L05130,1958 Jul 25,Earth,1958 Jul 25,R,,NOTS,US,NOTS,NOTS-8,,15,,3,,3,,0.5,,0.2,,0.5,,Cyl,1958 Jul 25,-6370,,12,,90.00,,ATM,,
16,F00017,NSO,1958-F07,R5  F,NOTS 3in Sph.,NOTS 3in Sph.,1958 Jul 25,F00016,1958 Jul 25,Earth,1958 Jul 25,AR,,NOTS,US,NOTS,NOTS-3S,,1,,0,,1,,0.1,,0.1,,0.1,,Sphere + Cone,1958 Jul 25,-6370,,12,,90.00,,ATM,,
17,F00018,NSO,1958-F07,P   F,NOTS 1,Diagnostic Payload 1,1958 Jul 25,F00017,1958 Jul 25,Earth,1958 Jul 25,AR,,NOTS,US,NOTS,NOTS Satellite,,1,,1,,1,,0.2,,0.1,,0.2,,Cyl,1958 Jul 25,-6370,,12,,90.00,,ATM,,
18,F00019,NSO,1958-F08,R4  F,NOTS 8in,NOTS 8in,1958 Aug 12,L05231,1958 Aug 12,Earth,1958 Aug 12,R,,NOTS,US,NOTS,NOTS-8,,15,,3,,3,,0.5,,0.2,,0.5,,Cyl,1958 Aug 12,-6378,,12,,90.00,,ATM,,
19,F00020,NSO,1958-F08,R5  F,NOTS 3in Sph.,NOTS 3in Sph.,1958 Aug 12,F00019,1958 Aug 12,Earth,1958 Aug 12,AR,,NOTS,US,NOTS,NOTS-3S,,1,,0,,1,,0.1,,0.1,,0.1,,Sphere + Cone,1958 Aug 12,-6378,,12,,90.00,,ATM,,
20,F00021,NSO,1958-F08,P   F,NOTS 2,Diagnostic Payload 2,1958 Aug 12,F00020,1958 Aug 12,Earth,1958 Aug 12,AR,,NOTS,US,NOTS,NOTS Satellite,,1,,1,,1,,0.2,,0.1,,0.2,,Cyl,1958 Aug 12,-6378,,12,,90.00,,ATM,,
21,F00022,NSO,1958-F09,R3  F,X-248 Altair,Altair X-248-A3,1958 Aug 17,L05265,1958 Aug 17 1219,Earth,1958 Aug 17,R,,AFBMD,US,ABL,Altair,,24,,24,,24,,1.5,,0.5,,1.5,,Cyl,1958 Aug 17,-6370,,16,,30.00,,ATM,,
22,F00023,NSO,1958-F09,P   F,Pioneer Lunar Probe,Able I,1958 Aug 17,F00022,1958 Aug 17 1219,Earth,1958 Aug 17,AR,,ARPA/AFBMD,US,TRW,Able I Pioneer,TX-8 Falcon,22,,22,,38,,0.7,,0.7,,1.0,,DCone,1958 Aug 17,-6370,,16,,30.00,,ATM,,":UA,:UC,Able I"
23,F00024,NSO,1958-F09,C  MF,TX-8 Falcon,TX-8 Falcon,1958 Aug 17,F00023,1958 Aug 17 1219,Earth,1958 Aug 17,AR,,AFBMD,US,THKX,TX-8,,16,,5,,0,,0.2,,0.2,,0.2,,Cone,1958 Aug 17,-6370,,16,,30.00,,ATM,,
24,F00025,NSO,1958-F10,R4  F,NOTS 8in,NOTS 8in,1958 Aug 22,R02356,1958 Aug 22,Earth,1958 Aug 22,R,,NOTS,US,NOTS,NOTS-8,,15,,3,,3,,0.5,,0.2,,0.5,,Cyl,1958 Aug 22,-4000,,80,,90.00,,ATM,,
25,F00026,NSO,1958-F10,R5  F,NOTS 3in Sph.,NOTS 3in Sph.,1958 Aug 22,F00025,1958 Aug 22,Earth,1958 Aug 22,AR,,NOTS,US,NOTS,NOTS-3S,,1,,0,,1,,0.1,,0.1,,0.1,,Sphere + Cone,1958 Aug 22,-4000,,80,,90.00,,ATM,,
26,F00027,NSO,1958-F10,P   F,NOTS 3,Diagnostic Payload 3,1958 Aug 22,F00026,1958 Aug 22,Earth,1958 Aug 22,AR,,NOTS,US,NOTS,NOTS Satellite,,1,,1,,1,,0.2,,0.1,,0.2,,Cyl,1958 Aug 22,-4000,,80,,90.00,,ATM,,
27,F00028,NSO,1958-F11,R4  F,Cluster 8 Assembly 4,RTV Motor,1958 Aug 24,R02359,1958 Aug 24 0623,Earth,1958 Aug 24,R,,JPL,US,JPL,RTV Motor,,9,,9,,9,,1.2,,0.1,,1.2,,Cyl,1958 Aug 24,-713,,1125,,75.00,,SO,,
28,F00029,NSO,1958-F11,P   F,Explorer V,Explorer 5,1958 Aug 24,F00028,1958 Aug 24 0623,Earth,1958 Aug 24,AR,,ABMA/JPL,US,JPL,Explorer,,5,,5,,5,,0.8,,0.1,,0.8,,Cyl,1958 Aug 24,-713,,1125,,75.00,,SO,,
29,F00030,NSO,1958-F12,R4  F,NOTS 8in,NOTS 8in,1958 Aug 25,L05287,1958 Aug 25,Earth,1958 Aug 25,R,,NOTS,US,NOTS,NOTS-8,,15,,3,,3,,0.5,,0.2,,0.5,,Cyl,1958 Aug 25,-6378,,12,,90.00,,ATM,,
30,F00031,NSO,1958-F12,R5  F,NOTS 3in Sph.,NOTS 3in Sph.,1958 Aug 25,F00030,1958 Aug 25,Earth,1958 Aug 25,AR,,NOTS,US,NOTS,NOTS-3S,,1,,0,,1,,0.1,,0.1,,0.1,,Sphere + Cone,1958 Aug 25,-6378,,12,,90.00,,ATM,,
31,F00032,NSO,1958-F12,P   F,NOTS 4,Radiation Payload 1,1958 Aug 25,F00031,1958 Aug 25,Earth,1958 Aug 25,AR,,NOTS,US,NOTS,NOTS Satellite,,1,,1,,1,,0.2,,0.1,,0.2,,Cyl,1958 Aug 25,-6378,,12,,90.00,,ATM,,
32,F00033,NSO,1958-F13,R4  F,NOTS 8in,NOTS 8in,1958 Aug 26,L05299,1958 Aug 26,Earth,1958 Aug 26,R,,NOTS,US,NOTS,NOTS-8,,15,,3,,3,,0.5,,0.2,,0.5,,Cyl,1958 Aug 26,-6378,,12,,90.00,,ATM,,
33,F00034,NSO,1958-F13,R5  F,NOTS 3in Sph.,NOTS 3in Sph.,1958 Aug 26,F00033,1958 Aug 26,Earth,1958 Aug 26,AR,,NOTS,US,NOTS,NOTS-3S,,1,,0,,1,,0.1,,0.1,,0.1,,Sphere + Cone,1958 Aug 26,-6378,,12,,90.00,,ATM,,
34,F00035,NSO,1958-F13,P   F,NOTS 5,Radiation Payload 2,1958 Aug 26,F00034,1958 Aug 26,Earth,1958 Aug 26,AR,,NOTS,US,NOTS,NOTS Satellite,,1,,1,,1,,0.2,,0.1,,0.2,,Cyl,1958 Aug 26,-6378,,12,,90.00,,ATM,,
35,F00036,NSO,1958-F14,R4  F,NOTS 8in,NOTS 8in,1958 Aug 28,L05320,1958 Aug 28,Earth,1958 Aug 28,R,,NOTS,US,NOTS,NOTS-8,,15,,3,,3,,0.5,,0.2,,0.5,,Cyl,1958 Aug 28,-6378,,13,,90.00,,ATM,,
36,F00037,NSO,1958-F14,R5  F,NOTS 3in Sph.,NOTS 3in Sph.,1958 Aug 28,F00036,1958 Aug 28,Earth,1958 Aug 28,AR,,NOTS,US,NOTS,NOTS-3S,,1,,0,,1,,0.1,,0.1,,0.1,,Sphere + Cone,1958 Aug 28,-6378,,13,,90.00,,ATM,,
37,F00038,NSO,1958-F14,P   F,NOTS 6,Radiation Payload 3,1958 Aug 28,F00037,1958 Aug 28,Earth,1958 Aug 28,AR,,NOTS,US,NOTS,NOTS Satellite,,1,,1,,1,,0.2,,0.1,,0.2,,Cyl,1958 Aug 28,-6378,,13,,90.00,,ATM,,
38,F00039,NSO,1958-F15,R3  F,Blok E No. B1-3,8K72E,1958 Sep 23,L05416,1958 Sep 23 0904,Earth,1958 Sep 23,R,,OKB1,SU,OKB1,Blok-E,,1279,,1279,,1279,,5.0,,2.7,,5.0,,Cyl,1958 Sep 23,-6378,,80,,65.00,,ATM,,
39,F00040,NSO,1958-F15,P   F,[AMS Luna] E-1 No. 1,E-1 No. 1,1958 Sep 23,F00039,1958 Sep 23 0904,Earth,1958 Sep 23,AR,,NII88,SU,OKB1,E-1,,170,,170,,170,,0.8,,0.8,,2.0,,Sphere + Ant,1958 Sep 23,-6378,,80,,65.00,,ATM,,
40,F00041,NNA S,1958-U01,R3  F,GRC 33-KS-2800,GRC 33-KS-2800 172-12-24,1958 Sep 26,R02490,1958 Sep 26 1545,Earth,1958 Sep 26,R,,NRL,US,GCR,33-KS-2800,,195,,22,,22,,1.5,,0.7,,1.5,,Cyl,1958 Sep 26,65,,425,,32.80,,TA,,
41,F00042,NNA S,1958-U01,P   F,Vanguard,Cloud cover satellite,1958 Sep 26,F00041,1958 Sep 26 1550,Earth,1958 Sep 26,R,,NRL,US,NRL,"NRL 20""",,10,,10,,10,,0.5,,0.5,,0.5,,Sphere,1958 Sep 26,65,,425,,32.80,,TA,,":UA,:VA,Vanguard Group II FU2:VB"
42,F00043,NSO,1958-F17,R3  F,Blok E No. B1-4,8K72E,1958 Oct 11,L05460,1958 Oct 11 2343,Earth,1958 Oct 11,R,,OKB1,SU,OKB1,Blok-E,,1279,,1279,,1279,,5.0,,2.7,,5.0,,Cyl,1958 Oct 11,-6378,,80,,65.00,,ATM,,
43,F00044,NSO,1958-F17,P   F,[AMS Luna] E-1 No. 2,E-1 No. 2,1958 Oct 11,F00043,1958 Oct 11 2343,Earth,1958 Oct 11,AR,,NII88,SU,OKB1,E-1,,170,,170,,170,,0.8,,0.8,,2.0,,Sphere + Ant,1958 Oct 11,-6378,,80,,65.00,,ATM,,
44,F00045,NSO,1958-F18,R4  F,Cluster 10 Assembly 4,RTV Motor,1958 Oct 23,R02552,1958 Oct 23 0322,Earth,1958 Oct 23,R,,ABMA,US,JPL,RTV Motor,,9,,9,,29,,1.2,,0.1,,1.2,,Cyl,1958 Oct 23,-6300,,100,,50.00,,SO,,
45,F00046,NSO,1958-F18,C  MF,2 lb Motor,2 lb Motor,1958 Oct 23,F00047,1958 Oct 23 0322,Earth,1958 Oct 23,AR,,JPL,US,JPL,2 lb Motor,,1,,0,,0,,0.3,,0.1,,0.3,,Cyl,1958 Oct 23,-6300,,100,,50.00,,SO,,
