,Site,Code,UCode,Type,StateCode,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName,UName
0,A51,RW14/32,,LP,,1955,*,Area 51 RW14/32,"Runway 14/32, Groom Lake Air Force Base, Area 51, Nevada","Groom Lake, Nevada",-115.8020,37.2375,0.0001,NRO,,,
1,A51,X1,,LP,,1967 Sep 28,1967 Sep 28,Drone 501 Drop,"Accidental Drop Location, D-51B 501, Nevada","Groom Lake, Nevada",-115.8000,38.1000,0.2000,NRO,,,
2,ABER,A,,LP,,,,Launch Site A,"Skylark Tower, Apron A, RAF Aberporth",Aberporth,-4.5734,52.1415,0.0001,RAE,,,
3,ABER,C1,,LP,,,,Bloodhound 1,"Bloodhound Launcher 1, RAF Aberporth",Aberporth,-4.5711,52.1413,0.0001,RAE,,,
4,ABER,C2,,LP,,,,Bloodhound 2,"Bloodhound Launcher 2, RAF Aberporth",Aberporth,-4.5705,52.1413,0.0001,RAE,,,
5,ABER,SK,,LP,,,,Skua apron,"Skua apron, RAF Aberporth (guess)",Aberporth,-4.5671,52.1414,0.0001,RAE,,,
6,AGINSK,LP1,,LP,,1962,1964,Aginsk R-14,"R-14 Temporary Pad, Aginskiy Test Range (247 MP Tsugol)","Step'/Tsugol, Zabaykalsky Krai",115.4238,51.0157,0.0100,RVSN,,,
7,AKT,LP1,,LP,,1955,1956,AKT LP1,"Early Pencil site,  Akita Rocket Range","Michikawa, Akita City, Honshu, Nippon",140.0569,39.5709,0.0010,ISAS,,,
8,AKT,LP2,,LP,,1956 Sep 24,1962 May 24,AKT   -,Akita Rocket Range (ATC),"Michikawa, Akita City, Honshu, Nippon",140.0565,39.5667,0.0003,ISAS,,,
9,ALCA,HAD,,LP,,1994 Aug 19,*,ALCA  HAD,"HAD launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3681,-2.3143,0.0001,AEB,,,
10,ALCA,MRL,,LP,,1994 Aug 19,*,ALCA  MRL,"MRL launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3681,-2.3146,0.0001,AEB,,,
11,ALCA,RAG,,LP,,1994 Aug 19,*,ALCA  RAG,"RAG launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3679,-2.3144,0.0001,AEB,,,
12,ALCA,UL,,LP,,1994 Aug 19,*,ALCA  UL,"UL launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3676,-2.3160,0.0001,AEB,,,
13,ALCA,VLS,,LP,,1997 Nov  2,*,ALCA  VLS,"VLS pad, Alcantara","Alcantara, Maranhao, Brasil",-44.3680,-2.3177,0.0020,AEB,,,
14,ALEYSK,LC378/2,,LP,,1960s,1990s,ALEYSK,"Aleysk missile site, Russia",,82.7500,52.5000,0.5000,RVSN,,,
15,ALEYSK,LC367.01A,,LP,,1960s,1990s,ALEYSK,"Site 01A, Aleysk missile site, Russia","Aleysk, Russia",82.5984,52.4582,0.0001,RVSN,,,
