,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,D00195,NNA,1968-013,C  MD,Zond-4 PAO,L-1 No. 6L PAO,1968 Mar  2,D00194,1968 Mar  9 1900?,Earth,1968 Mar  9 1910?,R,G of Guinea,MOM,SU,,Soyuz PAO,,2880,,2000,,0,,4.0,,2.0,,9.8,,Cyl+ 2 pan,1968 Mar  9,-100,,294400,,51.62,,TA,,
1,D00316,04371,1970-029A,PH HD,Odyssey,Apollo CM-109,1970 Apr 11,D00326,1970 Apr 14 0551,Earth,1970 Apr 14 0906?,EAO,Luna,MSC,US,NAAD,CM,,5610,,5607,,45931,,3.5,,3.9,,3.9,,Cone,1970 Apr 14,-2046,,577645,,33.21,,CLO,,
2,D00002,00112,1959 MU 1,P   D,AMS Luna-1,E-1 No. 4,1959 Jan  2,Earth,1959 Jan  3 1956?,Luna,1959 Jan  4 0957?,EN,Earth,OKB1,SU,OKB1,E-1,,205,,205,,205,,0.8,,0.8,,2.0,,Sphere + Ant,1959 Jan  4 0300?,6000,,-11300,,31.00,,PCO,,
3,D00001,NNA,1959 MU,R3  D,8K72E No. B1-6,8K72E,1959 Jan  2,Earth,1959 Jan  3 1956?,Luna,1959 Jan  4 1000?,EN,Earth,RVSN,RU,OKB1,Blok-E,,1472,,1472,,1472,,5.0,,2.7,,5.0,,Cyl,1959 Jan  4 0300?,6000,,-11300,,31.00,,PCO,,
4,D00003,00113,1959 NU 1,P   D,Pioneer 4,Pioneer 4,1959 Mar  3,Earth,1959 Mar  4 2000?,Luna,1959 Mar  5 0200?,EN,Earth,ABMA,US,JPL,Juno II Probe,,7,,7,,7,,0.6,,0.2,,0.6,,Cone,1959 Mar  4 2224,60000,,Inf,,0.00,,PCO,,
5,D00004,NNA,1959 NU,R4  D,Cluster 12 Assembly 4,RTV Motor,1959 Mar  3,Earth,1959 Mar  4 2000?,Luna,1959 Mar  5 0200?,EN,Earth,ABMA,US,JPL,RTV Motor,,5,,5,,5,,1.2,,0.1,,1.2,,Cyl,1959 Mar  4 2300?,60000,,Inf,,0.00,,PCO,,
6,D00005,NNA,1959 NU,C  YD,Despin weight,,1959 Mar  3,Earth,1959 Mar  4 2000?,Luna,1959 Mar  5 0200?,EN,Earth,JPL,US,JPL,,,0,,0,,0,,0.0,,0.0,,1.5,,Disk + Cable,1959 Mar  4 2300?,60000,,Inf,,0.00,,PCO,,
7,D00006,NNA,1959 NU,C  YD,Despin weight,,1959 Mar  3,Earth,1959 Mar  4 2000?,Luna,1959 Mar  5 0200?,EN,Earth,JPL,US,JPL,,,0,,0,,0,,0.0,,0.0,,1.5,,Disk + Cable,1959 Mar  4 2300?,60000,,Inf,,0.00,,PCO,,
8,D00007,00114,1959 XI 1,P   D,AMS Luna-2,E-1 No. 7,1959 Sep 12,Earth,1959 Sep 13 1315?,Luna,1959 Sep 13 2102,R,Luna,OKB1,SU,OKB1,E-1,,205,,205,,205,,0.8,,0.8,,2.0,,Sphere + Ant,1959 Sep 13 2102,-1100,,-4200,,65.00,,PCO,,
9,D00008,NNA,1959 XI,R3  D,8K72E No. I1-7B,8K72E,1959 Sep 12,Earth,1959 Sep 13 1315?,Luna,1959 Sep 13 2100?,R,Luna,RVSN,RU,OKB1,Blok-E,,1511,,1511,,1511,,5.0,,2.7,,5.0,,Cyl,1959 Sep 13 2100?,-1100,,-4200,,65.00,,PCO,,
10,D00009,00021,1959 THE 1,P   D,AMS Luna-3,E-2A,1959 Oct  4,Earth,1959 Oct  6 0145?,Luna,1959 Oct  7 0620?,EN,Earth,OKB1,SU,OKB1,E-2A,,278,,278,,278,,1.3,,1.2,,1.5,,Ell,1959 Oct  6 1416,6200,,Inf,,,,PCO,,
11,D00010,NNA,1959 THE,R3  D,8K72E No. I1-8,8K72E,1959 Oct  4,Earth,1959 Oct  6 0145?,Luna,1959 Oct  7 0620?,EN,Earth,RVSN,RU,OKB1,Blok-E,,1553,,1553,,1553,,5.0,,2.7,,5.0,,Cyl,1959 Oct  6 1416?,6200,,Inf,,,,PCO,,
12,D00009,00021,1959 THE 1,P   D,AMS Luna-3,E-2A,1959 Oct  4,Earth,1960 Jan 24,Luna,1960 Jan 25?,EN,Earth,OKB1,SU,OKB1,E-2A,,278,,278,,278,,1.3,,1.2,,1.5,,Ell,1960 Jan 24 0237,50545,,Inf,,,,PCO,,
13,D00020,00222,1962 ALP 2,R2  D,Agena B 6003,Agena B 6003,1962 Jan 26,Earth,1962 Jan 28,Luna,1962 Jan 28,EN,Earth,MSFC,US,LMSC,Agena B,,2240,,715,,715,,6.3,,1.5,,6.3,,Cyl,1962 Jan 28 2300?,50000,,Inf,,,,PCO,,
14,D00019,00221,1962 ALP 1,P   D,Ranger 3,NASA P-34,1962 Jan 26,Earth,1962 Jan 28,Luna,1962 Jan 28,EN,Earth,NASA/JPL,US,JPL,Ranger Block II,,188,,188,,336,,1.0,,1.5,,5.2,,Hex Cyl + 2 Pan,1962 Jan 28 2325,35134,,-41633,,133.75,,PCO,,
15,D00021,00221,1962 ALP,C AMD,BE-3,Alcyone BE-3 S/N 204,1962 Jan 26,D00022,1962 Jan 28,Luna,1962 Jan 28,EAO,Earth,NASA/JPL,US,HERC,BE-3,,90,,20,,0,,0.9,,0.4,,0.9,,Cyl,1962 Jan 28 2325,35134,,-41633,,133.75,,PCO,,
16,D00022,00221,1962 ALP,PXARD--,Ranger Capsule 12,Ranger Capsule 12,1962 Jan 26,D00019,1962 Jan 28,Luna,1962 Jan 28,EAO,Earth,NASA/JPL,US,PHLO,Ranger Capsule,Alcyone,58,,58,,0,,0.6,,0.6,,0.6,,Sphere,1962 Jan 28 2325,35134,,-41633,,133.75,,PCO,,
17,D00023,00282,1962 MU 2,R2  D,Agena B 6004,Agena B 6004,1962 Apr 23,Earth,1962 Apr 26,Luna,1962 Apr 26,EN,Earth,MSFC,US,LMSC,Agena B,,2240,,715,,715,,6.3,,1.5,,6.3,,Cyl,1962 Apr 26 1200?,0,,Inf,,,,PCO,,
18,D00024,00280,1962 MU 1,P   D,Ranger 4,Ranger 4,1962 Apr 23,Earth,1962 Apr 26,Luna,1962 Apr 26 1250,R,Luna,NASA/JPL,US,JPL,Ranger Block II,,188,,188,,336,,1.0,,1.5,,5.2,,Hex Cyl + 2 Pan,1962 Apr 26 1250,,,,,,,PCO,,
19,D00025,00280,1962 MU,C AMD,BE-3,Alcyone BE-3 S/N 203,1962 Apr 23,D00024,1962 Apr 26,Luna,1962 Apr 26 1249,AR,Luna,NASA/JPL,US,HERC,BE-3,,90,,20,,0,,0.9,,0.4,,0.9,,Cyl,1962 Apr 26 1250,,,,,,,PCO,,
20,D00026,00280,1962 MU,PXARD--,Ranger Capsule 13,Ranger Capsule 13,1962 Apr 23,D00024,1962 Apr 26,Luna,1962 Apr 26 1249,AR,Luna,NASA/JPL,US,PHLO,Ranger Capsule,,58,,58,,0,,0.6,,0.6,,0.6,,Sphere,1962 Apr 26 1250,,,,,,,PCO,,
21,D00029,00440,1962 B ETA 2,R2  D,Agena B 6005,Agena B 6005,1962 Oct 18,Earth,1962 Oct 22 1200?,Luna,1962 Oct 22 1800?,EN,Earth,MSFC,US,LMSC,Agena B,,2240,,600,,600,,6.3,,1.5,,6.3,,Cyl,1962 Oct 21 1500?,50000,,Inf,,,,PCO,,
22,D00030,00439,1962 B ETA 1,P   D,Ranger 5,Ranger 5,1962 Oct 18,Earth,1962 Oct 21 0104,Luna,1962 Oct 22 0643,EN,Earth,NASA/JPL,US,JPL,Ranger Block 2,,203,,203,,351,,3.4,,1.0,,5.0,,Hex Cyl + Truss + 2 Pan,1962 Oct 21 1553,735,,-12770,,28.04,,PCO,,
23,D00031,00439,1962 B ETA,C AMD,BE-3,Alcyone BE-3,1962 Oct 18,D00032,1962 Oct 21 0104,Luna,1962 Oct 22 0643,EAO,Earth,NASA/JPL,US,HERC,BE-3,,90,,20,,0,,0.9,,0.4,,0.9,,Cyl,1962 Oct 21 1553,735,,-12770,,28.04,,PCO,,
24,D00032,00439,1962 B ETA,PXARD--,Ranger Capsule 18,Ranger Capsule 18,1962 Oct 18,D00030,1962 Oct 21 0104,Luna,1962 Oct 22 0643,EAO,Earth,NASA/JPL,US,PHLO,Ranger Capsule,Alcyone BE-3,58,,58,,0,,0.6,,0.6,,0.6,,Sphere,1962 Oct 21 1553,735,,-12770,,28.04,,PCO,,
25,D00035,NNA,1963-008,R4  D,Blok-L No. T103-11,Blok-L,1963 Apr  2,Earth,1963 Apr  5 0830?,Luna,1963 Apr  6 1830?,EN,Earth,RVSN,SU,OKB1,Blok-L,,5000,,900,,0,,2.7,,2.5,,2.7,,Cyl,1963 Apr  6?,50000,,Inf,,,,PCO,,
26,D00036,00566,1963-008B,P   D,Luna-4,E-6 No. 4,1963 Apr  2,Earth,1963 Apr  5 0830?,Luna,1963 Apr  6 1830?,EN,Earth,OKB1,SU,OKB1,E-6 DU,KTDU-5A,1240,,500,,1422,,2.6,,1.5,,2.6,,Cyl + Cone,1963 Apr  6 0124,8500,,Inf,,,,PCO,,
27,D00037,00563,1963-008A,PXARD--,ALS,E-6 No. 4 SA,1963 Apr  2,D00036,1963 Apr  5 0830?,Luna,1963 Apr  6 1830?,EAO,Earth,NII88,SU,OKB1,E-6 SA,,82,,82,,0,,0.7,,0.8,,0.7,,Ell,1963 Apr  6 0124,8500,,Inf,,,,PCO,,
28,D00038,00566,1963-008,C ATD,Otdelyaemiy otsek No. 1,Otdelyaemiy otsek No. 1,1963 Apr  2,D00036,1963 Apr  5 0830?,Luna,1963 Apr  6 1830?,EAO,Earth,NII88,SU,OKB1,E-6 OO,,50,,50,,0,,0.7,,0.3,,0.7,,Box,1963 Apr  6 0124,8500,,Inf,,,,PCO,,
29,D00039,00566,1963-008,C ATD,Otdelyaemiy otsek No. 2,Otdelyaemiy otsek No. 2,1963 Apr  2,D00036,1963 Apr  5 0830?,Luna,1963 Apr  6 1830?,EAO,Earth,NII88,SU,OKB1,E-6 OO,,50,,50,,0,,0.7,,0.3,,0.7,,Box,1963 Apr  6 0124,8500,,Inf,,,,PCO,,
30,D00045,NNA,1964-007,R2  D,Agena B 6008,Agena B 6008,1964 Jan 30,Earth,1964 Feb  2 0715?,Luna,1964 Feb  3?,EN,Earth,LERC,US,LMSC,Agena B,,2240,,600,,600,,6.3,,1.5,,6.3,,Cyl,1964 Feb  2 0900?,3630,,Inf,,,,PCO,,
31,D00044,00747,1964-007A,P   D,Ranger 6,RA-6,1964 Jan 30,Earth,1964 Feb  2 0715?,Luna,1964 Feb  2 0924,R,Luna,NASA/JPL,US,JPL,Ranger Block III,,381,,381,,381,,3.0,,1.5,,4.6,,Oct Cyl + Truss + 2 Pan,1964 Feb  2 0924,-608,,-3007,,19.80,,PCO,,
32,D00050,00842,1964-041A,P   D,Ranger 7,Ranger 7,1964 Jul 28,Earth,1964 Jul 30 2323,Luna,1964 Jul 31 1325,R,Luna,NASA/JPL,US,JPL,Ranger Block III,,365,,365,,365,,3.0,,1.5,,4.6,,Oct Cyl + Truss + 2 Pan,1964 Jul 31 1325,,,,,,,PCO,,
33,D00049,00843,1964-041B,R2  D,Agena B 6009,Agena B 6009,1964 Jul 28,Earth,1964 Jul 30 2300?,Luna,1964 Jul 31,EN,Earth,LERC,US,LMSC,Agena B,,2240,,600,,600,,6.3,,1.5,,6.3,,Cyl,1964 Jul 31 1630?,4170,,Inf,,,,PCO,,
34,D00061,01086,1965-010A,P   D,Ranger 8,RA-8,1965 Feb 17,Earth,1965 Feb 20,Luna,1965 Feb 20,R,Luna,NASA/JPL,US,JPL,Ranger Block III,,368,,366,,368,,3.0,,1.5,,4.6,,Oct Cyl + Truss + 2 Pan,1965 Feb 20 0957,-687,,-9887,,16.06,,PCO,,
35,D00060,01087,1965-010B,R2  D,Agena B 6006,Agena B 6006,1965 Feb 17,Earth,1965 Feb 20,Luna,1965 Feb 20,EN,Earth,LERC,US,LMSC,Agena B,,2240,,600,,600,,6.3,,1.5,,6.3,,Cyl,1965 Feb 20 1600?,15825,,Inf,,,,PCO,,
36,D00063,01294,1965-023A,P   D,Ranger 9,RA-9,1965 Mar 21,Earth,1965 Mar 24,Luna,1965 Mar 24 1408,R,Luna,NASA/JPL,US,JPL,Ranger Block III,,368,,367,,368,,3.0,,1.5,,4.6,,Oct Cyl + Truss + 2 Pan,1965 Mar 24 1408,-1363,,-8703,,15.67,,PCO,,
37,D00062,01298,1965-023B,R2  D,Agena B 6007,Agena B 6007,1965 Mar 21,Earth,1965 Mar 24,Luna,1965 Mar 25,EN,Earth,LERC,US,LMSC,Agena B,,2240,,600,,600,,6.3,,1.5,,6.3,,Cyl,1965 Mar 24 1900?,5353,,Inf,,,,PCO,,
38,D00064,NNA,1965-036,R4  D,Blok-L No. U103-30?,Blok-L,1965 May  9,Earth,1965 May 12,Luna,1965 May 12?,EN,Earth,RVSN,SU,OKB1,Blok-L,,5000,,900,,900,,2.7,,2.5,,2.7,,Cyl,1965 May 12 1900?,50000,,Inf,,,,PCO,,
39,D00065,01366,1965-036A,P   D,Luna-5,E-6 No. 10,1965 May  9,Earth,1965 May 12,Luna,1965 May 12 1910,R,Luna,OKB1,SU,OKB1,E-6 DU,KTDU-5A,1059,,300,,1371,,2.6,,1.5,,2.6,,Cyl + Cone,1965 May 12 1910,0,,Inf,,,,PCO,,
40,D00066,NNA,1965-036,PX-RD--,ALS,E-6 No. 10 SA,1965 May  9,D00065,1965 May 12,Luna,1965 May 12 1910,REL,,NII88,SU,OKB1,E-6 SA,,105,,105,,0,,0.7,,0.8,,0.7,,Ell,1965 May 12 1910,0,,Inf,,,,PCO,,
41,D00067,NNA,1965-036,C  TD,Otdelyaemiy otsek No. 1,Otdelyaemiy otsek No. 1,1965 May  9,D00065,1965 May 12,Luna,1965 May 12 1910,REL,,NII88,SU,OKB1,E-6 OO,,156,,156,,0,,0.7,,0.3,,0.7,,Box,1965 May 12 1910,0,,Inf,,,,PCO,,
42,D00068,NNA,1965-036,C  TD,Otdelyaemiy otsek No. 2,Otdelyaemiy otsek No. 2,1965 May  9,D00065,1965 May 12,Luna,1965 May 12 1910,REL,,NII88,SU,OKB1,E-6 OO,,156,,156,,0,,0.7,,0.3,,0.7,,Box,1965 May 12 1910,0,,Inf,,,,PCO,,
43,D00066,NNA,1965-036,PX-RD--,ALS,E-6 No. 10 SA,1965 May  9,D00065,1965 May 12 1910,Luna,1965 May 12 1910,R,Luna,NII88,SU,OKB1,E-6 SA,,105,,105,,0,,0.7,,0.8,,0.7,,Ell,1965 May 12 1910,0,,Inf,,,,PCO,,
44,D00067,NNA,1965-036,C  TD,Otdelyaemiy otsek No. 1,Otdelyaemiy otsek No. 1,1965 May  9,D00065,1965 May 12 1910,Luna,1965 May 12 1910,R,Luna,NII88,SU,OKB1,E-6 OO,,156,,156,,0,,0.7,,0.3,,0.7,,Box,1965 May 12 1910,0,,Inf,,,,PCO,,
