,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
0,F00002,1957-F01,Vanguard Test Satellite F,1957 Dec  6,1957 Dec  6,1957 Dec  6,1957 Dec  6,,Vanguard Test,,,,C,TECH,,,,,,,U,,,
1,F00004,1958-F01,Vanguard Test Satellite G,1958 Feb  5,1958 Feb  5,1958 Feb  5,1958 Feb  5,,Vanguard Test,,,,C,TECH,,,,,,,U,,,
2,F00006,1958-F02,Explorer 2,1958 Mar  5,1958 Mar  5,1958 Mar  5,1958 Mar  5,,Explorer ABMA,,,,C,SCI,,,,,,,U,,P*,Radiation
3,F00008,1958-F03,[ISZ],1958 Apr 27,1958 Apr 27,1958 Apr 27,1958 Apr 27,,ObjectD,,,,C,SCI,,,,,,,U,,P/F/MM*,Radiation satellite
4,F00011,1958-F04,Vanguard,1958 Apr 29,1958 Apr 29,1958 Apr 29,1958 Apr 29,,Vanguard,,,,C,SCI,,,,,,,U,,SX*,Solar X-rays
5,F00013,1958-F05,Vanguard,1958 May 28,1958 May 28,1958 May 28,1958 May 28,,Vanguard,,,,C,SCI,,,,,,,U,,SOL*,Solar Lyman Alpha
6,F00015,1958-F06,Vanguard,1958 Jun 26,1958 Jun 26,1958 Jun 26,1958 Jun 26,,Vanguard,,,,C,SCI,,,,,,,U,,SX*,Solar X-rays
7,F00018,1958-F07,NOTS 1,1958 Jul 25,1958 Jul 25,1958 Jul 25,1958 Jul 25,,NOTS,,,,D,TECH,,,,,,,U,,,
8,F00021,1958-F08,NOTS 2,1958 Aug 12,1958 Aug 12,1958 Aug 12,1958 Aug 12,,NOTS,,,,D,TECH,,,,,,,U,,,
9,F00023,1958-F09,Pioneer,1958 Aug 17,1958 Aug 17,1958 Aug 17,1958 Aug 17,,Able,,,,C,PLAN,,,,,,,U,,PL,Lunar probe
10,F00027,1958-F10,NOTS 3,1958 Aug 22,1958 Aug 22,1958 Aug 22,1958 Aug 22,,NOTS,,,,D,TECH,,,,,,,U,,,
11,F00029,1958-F11,Explorer 5,1958 Aug 24,1958 Aug 24,1958 Aug 24,1958 Aug 24,,Explorer ABMA,,,,C,SCI,,,,,,,U,,P,Radiation
12,F00032,1958-F12,NOTS 4,1958 Aug 25,1958 Aug 25,1958 Aug 25,1958 Aug 25,,NOTS,,,,D,SCI,,,,,,,U,,P,Radiation
13,F00035,1958-F13,NOTS 5,1958 Aug 26,1958 Aug 26,1958 Aug 26,1958 Aug 26,,NOTS,,,,D,SCI,,,,,,,U,,P,Radiation
14,F00038,1958-F14,NOTS 6,1958 Aug 28,1958 Aug 28,1958 Aug 28,1958 Aug 28,,NOTS,,,,D,SCI,,,,,,,U,,P,Radiation
15,F00040,1958-F15,[AMS Luna],1958 Sep 23,1958 Sep 23,1958 Sep 23,1958 Sep 23,,Luna,,,,C,PLAN,,,,,,,U,,PL,Lunar probe
16,F00042,1958-U01,Vanguard,1958 Sep 26,1958 Sep 26,1958 Sep 26,1958 Sep 26,,Vanguard,,,,C,IMG,,,,,,,U,,ATM*,Cloud cover imagera
17,F00044,1958-F17,[AMS Luna],1958 Oct 11,1958 Oct 11,1958 Oct 11,1958 Oct 11,,Luna,,,,C,PLAN,,,,,,,U,,PL,Lunar probe
18,F00048,1958-F18,Beacon,1958 Oct 23,1958 Oct 23,1958 Oct 23,1958 Oct 23,,Beacon,,,,C,SCI,,,,,,,U,,ATM,Balloon satellite
19,F00051,1958-F19,Pioneer 2,1958 Nov  8,1958 Nov  8,1958 Nov  8,1958 Nov  8 0812,,Able,,,,C,PLAN,,,,,,,U,,PL,Lunar probe
20,F00054,1958-F20,[AMS Luna],1958 Dec  4,1958 Dec  4,1958 Dec  4,1958 Dec  4,,Luna,,,,C,PLAN,,,,,,,U,,PL,Lunar probe
21,F00056,1959-F01,Vanguard,1959 Apr 14,1959 Apr 14,1959 Apr 14,1959 Apr 14,,Vanguard3,,,,C,SCI,,,,,,,U,,P/F*,Magnetometer
22,F00058,1959-F01,30-inch Sphere,1959 Apr 14,1959 Apr 14,1959 Apr 14,1959 Apr 14,,Beacon,,,,C,SCI,,,,,,,U,,ATM,Balloon satellite
23,F00060,1959-F02,Discoverer 3,1959 Jun  3,1959 Jun  3,1959 Jun  3,1959 Jun  3,,CORONA Early,,,,D,TECH,,,,,,,U,,BIO,Mice package
24,F00062,1959-F02,SRV,1959 Jun  3,1959 Jun  3,1959 Jun  3,1959 Jun  3,,SRV,,,,D,RV,,,,,,,U,,,
25,F00064,1959-F06,[AMS Luna],1959 Jun 18,1959 Jun 18,1959 Jun 18,1959 Jun 18,,Luna,,,,C,PLAN,,,,,,,U,,PL,Lunar probe
26,F00066,1959-F03,Vanguard,1959 Jun 22,1959 Jun 22,1959 Jun 22,1959 Jun 22,,Vanguard,,,,C,SCI,,,,,,,U,,ATM*,Radiation balance
27,F00068,1959-U01,Discoverer 4,1959 Jun 25,1959 Jun 25,1959 Jun 25,1959 Jun 25,,CORONA Early,,,,D,IMG,,,,,,,U,,,
28,F00070,1959-U01,SRV 102,1959 Jun 25,1959 Jun 25,1959 Jun 25,1959 Jun 25,,SRV,,,,D,RV,,,,,,,U,,,
