,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
0,T00002,2021-102,DRUMS Target 1,2021 Nov  9,2021 Nov  9,*,*,,Kawasaki,,,,B,TECH,[J],,,,,,S,,,
1,T00003,2021-102,DRUMS Target 2,2021 Nov  9,2021 Nov  9,*,*,,Kawasaki,,,,B,TECH,[J],,,,,,S,,,
2,T00005,2021-110C,LICIACube,2021 Nov 24,2021 Nov 24,*,*,,ASI Deep,,,,C,PLAN,[I],,,,,,S,,,
3,T00006,2021-118D,USA,2021 Dec  7,*,*,*,,EAGLE,,,,D,TECH,[US],,,,,,S,,,
4,T00014,2021-127,Mitsui cubesat 1,2021 Dec 21,*,*,*,,Mitsui,,,,B,TECH,[J],,,,,,S,,,
5,T00017,2021-127,TAU_Sat-3,2021 Dec 21,*,*,*,,TAU,,,,A,TECH,[IL],,,,,,S,,,
6,T00020,2019-022Q,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
7,T00021,2019-022R,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
8,T00022,2019-022S,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
9,T00023,2019-022T,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
10,T00024,2019-022U,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
11,T00025,2019-022V,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
12,T00026,2019-022W,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
13,T00027,2019-022X,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
14,T00028,2019-022Y,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
15,T00029,2019-022Z,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
16,T00030,2019-022AA,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
17,T00031,2019-022AB,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
18,T00032,2019-022AC,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
19,T00033,2019-022AD,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
20,T00034,2019-022AE,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
21,T00035,2019-022AF,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
22,T00036,2019-022AG,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
23,T00037,2019-022AH,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
24,T00038,2019-022AJ,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
25,T00039,2019-022AK,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
26,T00040,2019-022AL,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
27,T00041,2019-022AM,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
28,T00042,2019-022AN,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
29,T00043,2019-022AP,Aerocube 10a Probe,2019 Apr 17,2019 Apr 17,*,*,,AC10 Probe,,,,D,SCI,[US],,,,,,S,,,
30,T00045,2022-002DK,STORK 2,2022 Jan 13,2022 Jan 13,*,*,,STORK,,,,B,IMG,[PL],,,,,,S,,,
31,T00046,2022-002DL,LabSat,2022 Jan 13,2022 Jan 13,*,*,,STORK,,,,B,TECH,[PL],,,,,,S,,,
32,T00047,2022-002DM,SW1FT,2022 Jan 13,2022 Jan 13,*,*,,STORK,,,,B,IMG,[PL],,,,,,S,,,
33,T00049,2022-002DN,Dodona,2022 Jan 13,2022 Jan 13,*,*,,USC,,,,A,TECH,[US],,,,,,S,,,
