,Cite,Reference
0,AirglowAurora,"The Airglow and Aurora, 1955 (ed. Bates, D.)"
1,Alway,"P. Alway, Rockets of The World, privately published, 1993."
2,Alway-Shadow,"Alway, P., In the Shadow of the V-2"
3,ROTW2001,"Alway, P., ROTW 2001 update"
4,Alway2002,"Alway, P., ROTW 2002 update"
5,AnimalAst,Animal Astronauts
6,Barr-Howard,Barr and Howard. Polaris.
7,B-58,"Convair B-58 Hustler, Jay Miller, Aerofax."
8,Bibbo10,"Dr. Giovanni Bibbo, private correspondence, Sep 2010"
9,Brulle2008,"Brulle, R.V., Engineering the Space Age;  Air University, 2008"
10,Chang,"Chang, I., Thread of the Silkworm"
11,Chapman,"Chapman, J., ""Atlas - The Story of a Missile"", Harper, 1960."
12,Chengappa,"R. Chengappa, Weapons of Peace."
13,CNES30,Trente Annees de CNES
14,Delo,"SP Korolev i ego Delo, 1998"
15,DeMaes,"De Maeseneer, G., The First 100 Years (via C. Rigg)"
16,Energiya,"RKK Energiya im S.P. Korolyova, 1996."
17,Gatland1,"Gatland, K., Spacecraft and Boosters (1961)."
18,Gatland2,"Gatland, K., Spacecraft and Boosters 2 (1962)."
19,Glazami,"Glazami Ochevidtsev Vospom. Veteranov Baykonura, V 3., Kosmo, 1997."
20,Hansen,"Hansen, Chuck: US Nuclear Weapons"
21,Hartt,"Hartt, J., The Mighty Thor  (reported by Carl Rigg)"
22,Harvey,"Harvey, B., The Chinese Space Programme"
23,Hill,"Hill, C.N., A Vertical Empire"
24,Hirsh,"Glimpsing an Invisible Universe, R. Hirsch, CUP 1983."
25,IMSG,"Ordway and Wakeford, International Missile and Spacecraft Guide, 1960"
26,IMRM,"Isseldovatel'skie i meteorologicheskie Raketi Mira, Gidrometisdat 1979."
27,Jenkins-Landis,"Jenkins, D. and Landis, A., Hypersonic; Speciality Press, 2002."
28,Karpenko98,"Karpenko, 1998, Soviet launch vehicles"
29,Krunichev,"Gorodnichev, Yu. P., et al 1996:GKNITs im Krunichev - 80 let."
30,Ley,"Rockets, Missiles and Men in Space, W. Ley."
31,Lowther,"Lowther, W, 1991: Arms And The Man (Presidio)."
32,LukAfan,"Lukashevich and Afanas'ev, Kosmicheksiye Krilya"
33,MajorAct60,"Major Activities in the NASA Programs, Oct 1 1959 - Mar 31, 1960."
34,Massey,"Massey and Robins, British Space Science."
35,McManus,"McManus, J.P., FBM History, 1989"
36,Men'shikov,"Men'shikov, V. L., 1994: Baykonur - moya bol' i lyubov'"
37,Mitchell-Bossart,"Mitchell, D.P., 2016: Bossart, America's Forgotten Rocket Scientist"
38,Morrow,"Morrow and Pines, Small Sounding Rockets."
39,Morton,"P. Morton, Fire across the Desert"
40,MRKS,"Meteorologicheskie Raketnie Kompleksi SSSR, A. A. Shidlovskiy, 2003"
41,NWD-5,"Nuclear Weapons Databook, Vol 5."
42,Newell,"Newell, Sounding Rockets."
43,Neufeld/220,"Neufeld, M., Rocket and the Reich, p 220"
44,NezavB,"Nezavivaemiy Baykonur,ed.  K.V. Gerchik, 1998."
45,Papagiannis,"Papagiannis, M.D., 1964, Ph.D. Thesis, Harvard Univ."
46,Pervov,"Pervov, M, Raketniye Kompleksi RVSN, 1999."
47,Pervov-A,Pervov. M (ABM rockets book)
48,Petrov71,"Petrov, G., Conquest of Outer Space in the USSR 1967-1970, 1971."
49,Podvig,"Podvig, P, Strategicheskoe Yadernoe Vooruzhenie Rossii (Moskva, 1998)."
50,Polmar-Moore,"Polmar and Moore, Cold War Submarines"
51,RAE,RAE Table of Earth Satellites 1957-1989.
52,REUA,"Rocket Exploration of the Upper Atmosphere, J Atm.Terr. Phys Special Suppl 1, 1954"
53,Ragno,"Italy In Space Before and After Sirio, L. Ragno and B. Amatucci (F Palombi)."
54,Raj,"Reach for the Stars, G. Raj."
55,RKAYu,Raketi i Kosmicheskie Apparati KB Yuzhnoe.
56,RocketTeam,"Ordway F and Sharpe M, the Rocket Team."
57,Rodriguez07,"Maria Nacher Rodriguez, Tromso MSc Thesis, Jun 2007"
58,Rosen,"Rosen, M, the Viking Story"
59,Sergeev96,"Sergeev et al 1996, Perviy Kosmosdrom Rossii."
60,Stuhlinger,"Stuhlinger, E., ""Peenemunde"" (reported by Carl Rigg)"
61,Taylor,"Taylor, L., ""Liftoff"" (reported by Carl Rigg)"
62,TTaylor,"Taylor, T., ""Rocket Island"" (reported by Carl Rigg)"
63,Thompson,"M. Thompson, The Edge of Space"
64,VKS,"VKS Voenno-istoricheskiy trud, kniga 1,  Moskva 1997"
65,Villain,"Villain, J., La Force de Dissuasion Francaise"
66,VonBraun58,"VonBraun, W. Start in den Weltraum"
67,Werrell85,"Evolution of the Cruise Missile, K. Werrell, Maxwell AFB, 1985."
68,Wilson-SSL,"Solar System Log, A. Wilson."
69,X-Planes,"Miller, J., The X-Planes."
70,AdvAstSci34,"Apollo Soyuz Mission Report, AdvAstSci vol 34."
71,ABMA,ABMA Redstone History
72,ABMA Memo,"ABMA Redstone/Jupiter memos, from National Archives, Atlanta."
73,AFCRL,AFCRL sounding rocket launch list
74,AFCRL2,AFCRL sounding rocket launch memo
75,AFCRL-66-631,AFCRL document
76,AFCRL66-738,AFCRL document
77,AD842577,"AMR Rnage Test Number 1502, Test Report AA60-0118, 31 Oct 1960, Flight Test Report Missile 71D"
78,AD738848,"ECOM Met Data Report - Unguided Rocket Impact Dispersion, Feb 1972, Dunaway G and Hoidale M.."
79,AFMTC,AFMTC launch lists; Unattributed xeroxes found in archive with reference MT60-2544.
80,AFT3,The Air Force Titan III and 34D (booklet)
81,AltAirRpt,"Flight Demo. of the AltAir Air Deployed Ballistic Missile Target, J. Snyder et al, 1997."
