,IDT,IDName,Name,Rho,IFac,PoleRA,PoleDec,Meridian,SpinRate,J2,J4,J6,PoleRARate,PoleDecDec,PoleFunc,SpinFunc,InitFunc,JFile
0,P,010,Sun,1.00,0.07,286.1300,63.8700,84.1760,14.1844000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
1,P,001,Mercury,5.43,0.33,281.0103,61.4155,329.5988,6.1385108,60.00,0.00,0.00,-0.0328,-0.0049,PSTD,SMER,,
2,P,002,Venus,5.24,0.33,272.7600,67.1600,160.2000,-1.4813688,4.50,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
3,P,399,Earth,5.52,0.331,0.0000,90.0000,190.1470,360.9856235,1082.64,-1.6193,0.5396,-0.6410,-0.5570,PSTD,SSTD,,Sys/Earth.J
4,P,004,Mars,3.94,0.365,317.2692,54.4325,176.0499,350.8919824,1960.50,0.00,0.00,-0.10927,-0.05827,PMARS,SMARS,MARS,
5,P,005,Jupiter,1.33,0.254,268.0566,64.4953,284.9500,870.5366420,14696.40,0.00,0.00,-0.0065,0.00241,PJUP,SSTD,JUP,
6,P,006,Saturn,0.70,0.21,40.5890,83.5370,38.9000,810.7939024,16290.70,0.00,0.00,-0.0360,-0.0040,PSTD,SSTD,SAT,
7,P,007,Uranus,1.30,0.23,257.3110,-15.1750,203.8100,-501.1600928,3343.50,0.00,0.00,0.0000,0.0000,PSTD,SSTD,URA,
8,P,008,Neptune,1.76,0.23,299.3600,43.4600,249.9780,541.1397757,3410.00,0.00,0.00,0.0000,0.0000,PNEP,SNEP,NEP,
9,P,503,Ganymede,1.94,0.312,268.2000,64.5700,44.0640,50.3176081,0.00,0.00,0.00,-0.0090,0.0030,PMF,SSAT,,
10,P,606,Titan,1.88,0.341,39.4827,83.4279,186.5855,22.5769768,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
11,P,504,Callisto,1.83,0.355,268.7200,64.8300,259.5100,21.5710715,0.00,0.00,0.00,-0.0090,0.0030,PMF,SSAT,,
12,P,501,Io,3.53,0.378,268.0500,64.5000,200.3900,203.4889538,0.00,0.00,0.00,-0.0090,0.0030,PMF,SSAT,,
13,P,301,Luna,3.34,0.393,269.9949,66.5392,38.3213,13.1763582,203.35,0.00,0.00,0.0031,0.0130,PLUN,SLUN,,
14,P,502,Europa,3.01,0.346,268.0800,64.5100,36.0220,101.3747235,0.00,0.00,0.00,-0.0090,0.0030,PMF,SSAT,,
