,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
0,T00001,NNA,2021-092C,CP T,Shenzhou 13 Guidao Cang,Shenzhou 13 orbital module,2021 Oct 15,S49326,2021 Oct 15,Earth,,AO,,CMSEO,CN,CAST,Shenzhou OM,,1842,,1500,,1842,,2.3,,2.8,,4.3,,Cyl + 2 pan,,0,,0,,0.00,,,,
1,T00002,NNA,2021-102,PX-S,DRUMS Target 1,DRUMS Target 1,2021 Nov  9,S49399,2021 Nov  9 0205:45,Earth,,AO,,KAWA,J,KAWA,DRUMS Target,,1,,1,,1,,0.3,,0.1,,0.3,,Cyl,,0,,0,,0.00,,,,
2,T00003,NNA,2021-102,PX-S,DRUMS Target 2,DRUMS Target 2,2021 Nov  9,S49399,2021 Nov  9 0205:45,Earth,,AO,,KAWA,J,KAWA,DRUMS Target,,1,,1,,1,,0.3,,0.1,,0.3,,Cyl,,0,,0,,0.00,,,,
3,T00004,NNA A,2021-103B,C  A I-,Dragon Trunk,Dragon D2-6 Trunk,2021 Nov 11,S49407,2021 Nov 11,Earth,,AO,,SPX,US,SPX,Dragon SM,,2300,,2300,,0,,3.7,,3.7,,3.7,,Cyl,,0,,0,,0.00,,,,
4,T00005,NNA,2021-110C,P   D,LICIACube,LICIACube,2021 Nov 24,S49497,2021 Nov 24 0716:42,Earth,2021 Nov 24 1648,DSA,D01091,ASI/ARGOT,I,ARGOT,Cubesat 6U,AOCS,14,,14,,14,,0.3,,0.2,,0.3,,Box,2021 Nov 24,263,,-135350,,64.65,,EEO,H,
5,T00006,NNA,2021-118D,P,USA 326?,,2021 Dec  7,S49818,2022 Jan 25?,Earth,,O,,AFRL,US,OATK/HARRL3?,ESPASat,,100,,80,,100,,0.7,,0.6,,0.6,,Box,2022 Jan 26,35517,,35524,,0.11,,GEO/D,,
6,T00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,T00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,T00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,T00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,T00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,T00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,T00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,T00014,NNA,2021-127,P    D,Mitsui cubesat 1,Unknown,2021 Dec 21,A09925,2021 Dec 21,Earth,,AO,,MITSUI?,J,MITSUI?,Cubesat 1U,,1,,1,,1,,0.1,,0.1,,0.1,,Box,,0,,0,,0.00,,,,
14,T00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,T00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,T00017,NNA,2021-127,P    D,TAU-Sat-3,TAU-Sat-3,2021 Dec 21,A09925,2021 Dec 21,Earth,,O,,TAU,IL,TAU,Cubesat 3U,,4,,4,,4,,0.3,,0.1,,0.3,,Box,,0,,0,,0.00,,,,
17,T00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,T00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,T00020,NNA,2019-022Q,P    D,AC-10a Probe 06,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
20,T00021,NNA,2019-022R,P    D,AC-10a Probe 07,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
21,T00022,NNA,2019-022S,P    D,AC-10a Probe 08,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
22,T00023,NNA,2019-022T,P    D,AC-10a Probe 09,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
23,T00024,NNA,2019-022U,P    D,AC-10a Probe 10,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
24,T00025,NNA,2019-022V,P    D,AC-10a Probe 11,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
25,T00026,NNA,2019-022W,P    D,AC-10a Probe 12,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
26,T00027,NNA,2019-022X,P    D,AC-10a Probe 13,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
27,T00028,NNA,2019-022Y,P    D,AC-10a Probe 14,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
28,T00029,NNA,2019-022Z,P    D,AC-10a Probe 15,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
29,T00030,NNA,2019-022AA,P    D,AC-10a Probe 16,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
30,T00031,NNA,2019-022AB,P    D,AC-10a Probe 17,Aerocube 10a Probe,2019 Apr 17,S44485,2019 Apr 17,Earth,,AO,,AERO,US,AERO,AC-10 Probe,,0.016,,0.016,,0.016,,0.098,,0.098,,0.098,,Cruciform sphere,2021 Aug 30,461,,475,,51.64,,LLEO/I,,
