,JCAT,Name
0,A00045,[Луна-4]
1,A00250,Спускаемий Аппарат
2,A00257,Спускаемий Аппарат
3,A00295,Спускаемий Аппарат
4,A00318,АЛС
5,A00330,АЛС
6,A00416,Спускаемий Аппарат
7,A00452,Спускаемий Аппарат
8,A00455,Спускаемий Аппарат
9,A00645,АЛС
10,A00695,АЛС
11,A00730,АЛС
12,A00799,АЛС
13,A00831,АЛС
14,A00846,ОГЧ
15,A00866,АЛС Луна-9
16,A00872,ОГЧ
17,A00890,Спускаемий Аппарат
18,A00933,ОГЧ
19,A01104,АЛС Луна-13
20,A01199,Спускаемий Аппарат
21,A01254,Спускаемий Аппарат Венеры-4
22,A01374,ОГЧ
23,A01378,ОГЧ
24,A01459,Космос-251
25,A01582,СА Венеры-5
26,A01583,СА Венеры-6
27,A01633,Луна-15 ВА
28,A01656,Капсула Космоса-293
29,A01674,Космос-300 ВА
30,A01694,Космос-305
31,A01695,Космос-305 ВА
32,A01848,Луна-16 ВА
33,A01885,Луноход-1
34,A01901,СА Венеры-7
35,A02027,Луна-18 ВА
36,A02060,ПРОП-М
37,A02065,ПРОП-М
38,A02162,СА Венеры-8
39,A02243,Луноход-2
40,A02256,КСИ
41,A02342,Капсула Космоса-596
42,A02385,Капсула Космоса-629
43,A02480,КСИ
44,A02496,Луна-23 ВА
45,A02498,Капсула Космоса-692
46,A02611,Капсула Космоса-769
47,A02671,Спускаемая Капсула
48,A02673,Спускаемая Капсула
49,A02723,Спускаемая Капсула
50,A02725,Спускаемая Капсула
51,A02764,Космос-816 ЭСО
52,A02798,КСИ
53,A02815,Спускаемая Капсула
54,A02817,Спускаемая Капсула
55,A02843,Космос-929 ВА
56,A02856,Спускаемая Капсула
57,A02862,Спускаемая Капсула
58,A02866,Космос-885 ЭСО
59,A02867,Космос-885 ЭСО
60,A02868,Космос-885 ЭСО
61,A02869,Космос-885 ЭСО
62,A02870,Космос-885 ЭСО
63,A02871,Космос-885 ЭСО
64,A02872,Космос-885 ЭСО
65,A02892,Космос-913 ЭСО
66,A02893,Космос-913 ЭСО
67,A02894,Космос-913 ЭСО
68,A02895,Космос-913 ЭСО
69,A02959,Космос-965 ЭСО
70,A02984,Спускаемая Капсула
71,A02986,Спускаемая Капсула
72,A03057,Спускаемая Капсула
73,A03059,Спускаемая Капсула
74,A03074,Спускаемая Капсула
75,A03076,Спускаемая Капсула
76,A03095,Космос-1065 ЭСО
77,A03096,Космос-1065 ЭСО
78,A03097,Космос-1065 ЭСО
79,A03098,Космос-1065 ЭСО
80,A03099,Космос-1065 ЭСО
81,A03100,Космос-1065 ЭСО
82,A03101,Космос-1065 ЭСО
83,A03102,Космос-1065 ЭСО
84,A03103,Космос-1065 ЭСО
85,A03104,Космос-1065 ЭСО
86,A03105,Космос-1065 ЭСО
87,A03106,Космос-1065 ЭСО
88,A03107,Космос-1065 ЭСО
89,A03108,Космос-1065 ЭСО
90,A03109,Космос-1065 ЭСО
91,A03110,Космос-1065 ЭСО
92,A03111,Космос-1065 ЭСО
93,A03112,Космос-1065 ЭСО
94,A03135,Спускаемая Капсула
95,A03139,Капсула Космоса-1122
96,A03142,Спускаемая Капсула
97,A03164,Спускаемая Капсула
98,A03166,Спускаемая Капсула
99,A03176,Спускаемая Капсула
100,A03178,Спускаемая Капсула
101,A03198,Спускаемая Капсула
102,A03202,Спускаемая Капсула
103,A03226,Спускаемая Капсула
104,A03232,Спускаемая Капсула
105,A03255,Спускаемая Капсула
106,A03258,Спускаемая Капсула
107,A03260,Космос-1204 ЭСО
108,A03261,Космос-1204 ЭСО
109,A03272,Спускаемая Капсула
110,A03274,Спускаемая Капсула
111,A03280,Спускаемая Капсула
112,A03282,Спускаемая Капсула
113,A03295,Спускаемая Капсула
114,A03298,Спускаемая Капсула
115,A03321,Космос-1267 ВА
116,A03326,Спускаемая Капсула
117,A03332,Спускаемая Капсула
118,A03334,Спускаемая Капсула
119,A03342,Спускаемая Капсула
120,A03352,Спускаемая Капсула
121,A03357,Спускаемая Капсула
122,A03364,Спускаемая Капсула
